Rank|Name|Sport|Wikipedia Page|Gender|Total Pay|Salary/Winnings|Endorsements|Country|Year|Date|Home|Winnings
13|Derrick Rose|Basketball|http://en.wikipedia.org/wiki/Derrick_Rose|Male|$36,600,000|$17,600,000|$19,000,000|United States|1988|4/10/1988|Chicago, Illinois, United States|191
45|Dirk Nowitzki|Basketball|http://en.wikipedia.org/wiki/Dirk_Nowitzki|Male|$23,200,000|$200,000|$23,000,000|Jamaica|1986|21/08/1986|Trelawny Parish, Jamaica|196
45|Dirk Nowitzki|Basketball|http://en.wikipedia.org/wiki/Dirk_Nowitzki|Male|$23,200,000|$200,000|$23,000,000|Germany|1978|19/06/1978|West Germany, Würzburg|213
45|Dirk Nowitzki|Basketball|http://en.wikipedia.org/wiki/Dirk_Nowitzki|Male|$23,200,000|$22,700,000|$500,000|Jamaica|1986|21/08/1986|Trelawny Parish, Jamaica|196
45|Dirk Nowitzki|Basketball|http://en.wikipedia.org/wiki/Dirk_Nowitzki|Male|$23,200,000|$22,700,000|$500,000|Germany|1978|19/06/1978|West Germany, Würzburg|213
33|Zack Greinke|Baseball|http://en.wikipedia.org/wiki/Zack_Greinke|Male|$24,450,000|$24,400,000|$50,000|United States|1983|21/10/1983|Orlando, Florida|188
66|Drew Brees|Football|http://en.wikipedia.org/wiki/Drew_Brees|Male|$21,000,000|$19,500,000|$1,500,000|Mexico|1990|18/07/1990|Guadalajara, Jalisco, Mexico|180
66|Drew Brees|Football|http://en.wikipedia.org/wiki/Drew_Brees|Male|$21,000,000|$19,500,000|$1,500,000|United States|1981|03/01/1981|New Orleans, Louisiana, United States|193
66|Drew Brees|Football|http://en.wikipedia.org/wiki/Drew_Brees|Male|$21,000,000|$19,500,000|$1,500,000|United States|1979|15/01/1979|Austin, Texas|183
66|Drew Brees|Football|http://en.wikipedia.org/wiki/Drew_Brees|Male|$21,000,000|$13,500,000|$7,500,000|Mexico|1990|18/07/1990|Guadalajara, Jalisco, Mexico|180
66|Drew Brees|Football|http://en.wikipedia.org/wiki/Drew_Brees|Male|$21,000,000|$13,500,000|$7,500,000|United States|1981|03/01/1981|New Orleans, Louisiana, United States|193
66|Drew Brees|Football|http://en.wikipedia.org/wiki/Drew_Brees|Male|$21,000,000|$13,500,000|$7,500,000|United States|1979|15/01/1979|Austin, Texas|183
66|Drew Brees|Football|http://en.wikipedia.org/wiki/Drew_Brees|Male|$21,000,000|$10,000,000|$11,000,000|Mexico|1990|18/07/1990|Guadalajara, Jalisco, Mexico|180
66|Drew Brees|Football|http://en.wikipedia.org/wiki/Drew_Brees|Male|$21,000,000|$10,000,000|$11,000,000|United States|1981|03/01/1981|New Orleans, Louisiana, United States|193
66|Drew Brees|Football|http://en.wikipedia.org/wiki/Drew_Brees|Male|$21,000,000|$10,000,000|$11,000,000|United States|1979|15/01/1979|Austin, Texas|183
29|Dwight Howard|Basketball|http://en.wikipedia.org/wiki/Dwight_Howard|Male|$25,500,000|$20,500,000|$5,000,000|United States|1985|8/12/1985|Atlanta, Georgia, United States|211
23|Dwyane Wade|Basketball|http://en.wikipedia.org/wiki/Dwyane_Wade|Male|$29,900,000|$18,900,000|$11,000,000|United States|1982|17/01/1982|Chicago, Illinois, United States|193
6|Tiger Woods|Golf|http://en.wikipedia.org/wiki/Tiger_Woods|Male|$61,200,000|$6,200,000|$55,000,000|United States|1975|30/12/1975|Cypress, California|185
66|Eli Manning|Football|http://en.wikipedia.org/wiki/Eli_Manning|Male|$21,000,000|$19,500,000|$1,500,000|Mexico|1990|18/07/1990|Guadalajara, Jalisco, Mexico|180
66|Eli Manning|Football|http://en.wikipedia.org/wiki/Eli_Manning|Male|$21,000,000|$19,500,000|$1,500,000|United States|1981|03/01/1981|New Orleans, Louisiana, United States|193
66|Eli Manning|Football|http://en.wikipedia.org/wiki/Eli_Manning|Male|$21,000,000|$19,500,000|$1,500,000|United States|1979|15/01/1979|Austin, Texas|183
66|Eli Manning|Football|http://en.wikipedia.org/wiki/Eli_Manning|Male|$21,000,000|$13,500,000|$7,500,000|Mexico|1990|18/07/1990|Guadalajara, Jalisco, Mexico|180
66|Eli Manning|Football|http://en.wikipedia.org/wiki/Eli_Manning|Male|$21,000,000|$13,500,000|$7,500,000|United States|1981|03/01/1981|New Orleans, Louisiana, United States|193
66|Eli Manning|Football|http://en.wikipedia.org/wiki/Eli_Manning|Male|$21,000,000|$13,500,000|$7,500,000|United States|1979|15/01/1979|Austin, Texas|183
66|Eli Manning|Football|http://en.wikipedia.org/wiki/Eli_Manning|Male|$21,000,000|$10,000,000|$11,000,000|Mexico|1990|18/07/1990|Guadalajara, Jalisco, Mexico|180
66|Eli Manning|Football|http://en.wikipedia.org/wiki/Eli_Manning|Male|$21,000,000|$10,000,000|$11,000,000|United States|1981|03/01/1981|New Orleans, Louisiana, United States|193
66|Eli Manning|Football|http://en.wikipedia.org/wiki/Eli_Manning|Male|$21,000,000|$10,000,000|$11,000,000|United States|1979|15/01/1979|Austin, Texas|183
11|Manny Pacquiao|Boxing|http://en.wikipedia.org/wiki/Manny_Pacquiao|Male|$41,800,000|$41,000,000|$800,000|Philippines|1978|17/12/1978|Kibawe, Bukidnon, General Santos, Philippines|152
77|Felix Hernandez|Baseball|http://en.wikipedia.org/wiki/Felix_Hernandez|Male|$20,300,000|$18,300,000|$2,000,000|Dominican Republic|1980|16/01/1980|Santo Domingo|190
77|Felix Hernandez|Baseball|http://en.wikipedia.org/wiki/Felix_Hernandez|Male|$20,300,000|$18,300,000|$2,000,000|Venezuela|1986|08/04/1986|Valencia, Venezuela|190
77|Felix Hernandez|Baseball|http://en.wikipedia.org/wiki/Felix_Hernandez|Male|$20,300,000|$20,100,000|$200,000|Dominican Republic|1980|16/01/1980|Santo Domingo|190
77|Felix Hernandez|Baseball|http://en.wikipedia.org/wiki/Felix_Hernandez|Male|$20,300,000|$20,100,000|$200,000|Venezuela|1986|08/04/1986|Valencia, Venezuela|190
21|Fernando Alonso|Racing|http://en.wikipedia.org/wiki/Fernando_Alonso|Male|$31,000,000|$29,000,000|$2,000,000|Spain|1981|29/07/1981|Oviedo, Asturias, Spain|171
